pdb_file	smiles	diffdock_confidence	smina_scored_affinity	smina_minimized_affinity	sdf_file
6ej2.pdb	C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3	-1.57	50.62958	-8.54294	./index52_-tmp-pdb-6ej2.pdb____C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3/rank17_confidence-1.57.sdf
6ej2.pdb	C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3	-3.22	66.70953	-7.81318	./index52_-tmp-pdb-6ej2.pdb____C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3/rank39_confidence-3.22.sdf
6ej2.pdb	C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3	-1.78	31.64132	-7.36706	./index52_-tmp-pdb-6ej2.pdb____C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3/rank22_confidence-1.78.sdf
6ej2.pdb	C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3	-1.9	20.53562	-5.76612	./index52_-tmp-pdb-6ej2.pdb____C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3/rank27_confidence-1.90.sdf
6ej2.pdb	C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3	-2.74	37.9471	-6.54222	./index52_-tmp-pdb-6ej2.pdb____C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3/rank37_confidence-2.74.sdf
6ej2.pdb	C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3	-1.4	2.86361	-6.86182	./index52_-tmp-pdb-6ej2.pdb____C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3/rank6_confidence-1.40.sdf
6ej2.pdb	C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3	-1.57	41.08489	-8.52601	./index52_-tmp-pdb-6ej2.pdb____C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3/rank16_confidence-1.57.sdf
6ej2.pdb	C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3	-1.54	18.49794	-6.21247	./index52_-tmp-pdb-6ej2.pdb____C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3/rank12_confidence-1.54.sdf
6ej2.pdb	C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3	-2.33	34.25913	-5.48971	./index52_-tmp-pdb-6ej2.pdb____C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3/rank34_confidence-2.33.sdf
6ej2.pdb	C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3	-2.18	44.78857	-7.77248	./index52_-tmp-pdb-6ej2.pdb____C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3/rank31_confidence-2.18.sdf
6ej2.pdb	C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3	-1.79	40.92608	-8.49425	./index52_-tmp-pdb-6ej2.pdb____C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3/rank23_confidence-1.79.sdf
6ej2.pdb	C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3	-1.81	7.2207	-7.27113	./index52_-tmp-pdb-6ej2.pdb____C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3/rank25_confidence-1.81.sdf
6ej2.pdb	C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3	-1.46	40.46341	10.25621	./index52_-tmp-pdb-6ej2.pdb____C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3/rank10_confidence-1.46.sdf
6ej2.pdb	C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3	-1.75	12.01293	-6.38982	./index52_-tmp-pdb-6ej2.pdb____C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3/rank20_confidence-1.75.sdf
6ej2.pdb	C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3	-1.44	23.59979	-7.12094	./index52_-tmp-pdb-6ej2.pdb____C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3/rank9_confidence-1.44.sdf
6ej2.pdb	C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3	-1.12	35.87717	-8.69417	./index52_-tmp-pdb-6ej2.pdb____C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3/rank3_confidence-1.12.sdf
6ej2.pdb	C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3	-1.55	33.31216	-9.48387	./index52_-tmp-pdb-6ej2.pdb____C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3/rank15_confidence-1.55.sdf
6ej2.pdb	C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3	-3.81	42.396	-8.58663	./index52_-tmp-pdb-6ej2.pdb____C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3/rank40_confidence-3.81.sdf
6ej2.pdb	C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3	-1.24	0.44924	-7.42856	./index52_-tmp-pdb-6ej2.pdb____C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3/rank4_confidence-1.24.sdf
6ej2.pdb	C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3	-1.39	50.28837	14.64667	./index52_-tmp-pdb-6ej2.pdb____C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3/rank5_confidence-1.39.sdf
6ej2.pdb	C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3	-1.75	43.76135	-8.7153	./index52_-tmp-pdb-6ej2.pdb____C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3/rank21_confidence-1.75.sdf
6ej2.pdb	C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3	-1.54	25.20983	-9.46895	./index52_-tmp-pdb-6ej2.pdb____C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3/rank13_confidence-1.54.sdf
6ej2.pdb	C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3	-1.4	21.35223	-7.53233	./index52_-tmp-pdb-6ej2.pdb____C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3/rank7_confidence-1.40.sdf
6ej2.pdb	C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3	-2.08	51.49989	11.14831	./index52_-tmp-pdb-6ej2.pdb____C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3/rank29_confidence-2.08.sdf
6ej2.pdb	C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3	-1.55	29.92099	-8.59785	./index52_-tmp-pdb-6ej2.pdb____C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3/rank14_confidence-1.55.sdf
6ej2.pdb	C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3	-1.52	41.46375	-8.64572	./index52_-tmp-pdb-6ej2.pdb____C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3/rank11_confidence-1.52.sdf
6ej2.pdb	C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3	-1.86	1.4545	-5.37841	./index52_-tmp-pdb-6ej2.pdb____C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3/rank26_confidence-1.86.sdf
6ej2.pdb	C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3	-2.23	9.53389	-6.68891	./index52_-tmp-pdb-6ej2.pdb____C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3/rank33_confidence-2.23.sdf
6ej2.pdb	C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3	-1.04	28.21123	-8.71338	./index52_-tmp-pdb-6ej2.pdb____C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3/rank2_confidence-1.04.sdf
6ej2.pdb	C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3	-1.95	51.49501	-8.22079	./index52_-tmp-pdb-6ej2.pdb____C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3/rank28_confidence-1.95.sdf
6ej2.pdb	CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1	-1.69	14.5999	-5.47619	./index142_-tmp-pdb-6ej2.pdb____CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1/rank28_confidence-1.69.sdf
6ej2.pdb	CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1	-2.08	30.36954	-4.48481	./index142_-tmp-pdb-6ej2.pdb____CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1/rank37_confidence-2.08.sdf
6ej2.pdb	CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1	-1.97	10.71412	-6.20857	./index142_-tmp-pdb-6ej2.pdb____CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1/rank36_confidence-1.97.sdf
6ej2.pdb	CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1	-1.63	24.07089	-5.25709	./index142_-tmp-pdb-6ej2.pdb____CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1/rank25_confidence-1.63.sdf
6ej2.pdb	CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1	-1.44	32.56679	-4.937	./index142_-tmp-pdb-6ej2.pdb____CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1/rank17_confidence-1.44.sdf
6ej2.pdb	CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1	-0.8	8.15224	-5.94783	./index142_-tmp-pdb-6ej2.pdb____CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1/rank2_confidence-0.80.sdf
6ej2.pdb	CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1	-2.51	16.32636	-7.37734	./index142_-tmp-pdb-6ej2.pdb____CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1/rank40_confidence-2.51.sdf
6ej2.pdb	CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1	-1.28	6.73867	-6.89211	./index142_-tmp-pdb-6ej2.pdb____CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1/rank11_confidence-1.28.sdf
6ej2.pdb	CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1	-1.7	31.6904	-5.0206	./index142_-tmp-pdb-6ej2.pdb____CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1/rank29_confidence-1.70.sdf
6ej2.pdb	CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1	-1.45	22.65957	-6.94011	./index142_-tmp-pdb-6ej2.pdb____CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1/rank18_confidence-1.45.sdf
6ej2.pdb	CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1	-1.49	29.24886	-6.21813	./index142_-tmp-pdb-6ej2.pdb____CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1/rank19_confidence-1.49.sdf
6ej2.pdb	CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1	-1.72	30.75214	9.25924	./index142_-tmp-pdb-6ej2.pdb____CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1/rank30_confidence-1.72.sdf
6ej2.pdb	CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1	-1.8	24.40189	-5.46358	./index142_-tmp-pdb-6ej2.pdb____CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1/rank31_confidence-1.80.sdf
6ej2.pdb	CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1	-1.41	-1.11326	-6.41706	./index142_-tmp-pdb-6ej2.pdb____CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1/rank14_confidence-1.41.sdf
6ej2.pdb	CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1	-1.52	28.83921	-6.9646	./index142_-tmp-pdb-6ej2.pdb____CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1/rank21_confidence-1.52.sdf
6ej2.pdb	CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1	-1.14	6.49934	-8.34421	./index142_-tmp-pdb-6ej2.pdb____CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1/rank6_confidence-1.14.sdf
6ej2.pdb	CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1	-2.32	17.82478	-5.62813	./index142_-tmp-pdb-6ej2.pdb____CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1/rank39_confidence-2.32.sdf
6ej2.pdb	CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1	-1.42	-0.83987	-7.14533	./index142_-tmp-pdb-6ej2.pdb____CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1/rank15_confidence-1.42.sdf
6ej2.pdb	CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1	-1.16	2.75306	-6.07111	./index142_-tmp-pdb-6ej2.pdb____CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1/rank8_confidence-1.16.sdf
6ej2.pdb	CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1	-1.69	10.82688	-6.69981	./index142_-tmp-pdb-6ej2.pdb____CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1/rank27_confidence-1.69.sdf
6ej2.pdb	CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1	-1.83	28.41843	-5.45291	./index142_-tmp-pdb-6ej2.pdb____CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1/rank33_confidence-1.83.sdf
6ej2.pdb	CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1	-1.53	9.48102	-6.76291	./index142_-tmp-pdb-6ej2.pdb____CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1/rank22_confidence-1.53.sdf
6ej2.pdb	CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1	-1.95	12.30042	-6.63499	./index142_-tmp-pdb-6ej2.pdb____CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1/rank35_confidence-1.95.sdf
6ej2.pdb	CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1	-0.83	9.0681	-6.93718	./index142_-tmp-pdb-6ej2.pdb____CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1/rank3_confidence-0.83.sdf
